"model","estimator","block","effect_seconds","coefficient_status"
"Claude Opus 5","Student-t degree 2","1",0.6345983809,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 2","2",-0.196167571392804,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 2","3",-0.961194308257246,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 2","4",1.85706859497653,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 2","5",-0.174001823872435,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 2","6",-1.16030327235405,"implied as negative sum of explicit effects"
"GPT-5.6 Terra","Stochastic frontier","1",0.018732156170403,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","2",-0.171448397324825,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","3",0.161071487066341,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","4",-0.0744498992128776,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","5",0.0622511062100212,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","6",0.00464846439935011,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","7",-0.0112005527356006,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Stochastic frontier","8",0.0103956354271875,"implied as negative sum of explicit effects"
"GPT-5.6 Terra","Spike + contention","1",-0.0746309962363639,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","2",-0.121472200861735,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","3",0.223646359003015,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","4",-0.0822599136009392,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","5",0.0842344758971156,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","6",-0.0481724520195323,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","7",-0.0116834865816479,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Spike + contention","8",0.030338214400088,"implied as negative sum of explicit effects"
"GPT-5.6 Sol","Stochastic frontier","1",-0.248797537295521,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Stochastic frontier","2",-0.186386844116188,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Stochastic frontier","3",0.174315881055253,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Stochastic frontier","4",-0.0244576780920965,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Stochastic frontier","5",0.285326178448552,"implied as negative sum of explicit effects"
"GPT-5.6 Sol","Spike + contention","1",-0.265580253298775,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Spike + contention","2",-0.142394606950684,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Spike + contention","3",0.165780483220026,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Spike + contention","4",-0.00529257567789439,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Spike + contention","5",0.247486952707328,"implied as negative sum of explicit effects"
"Claude Sonnet 5","Stochastic frontier","1",0.0202165543573071,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","2",0.0967780524004535,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","3",-0.16897068455764,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","4",-0.0767711310434876,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","5",0.246479919723991,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","6",0.0689756384386837,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","7",-0.00668640156222027,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","8",-0.125372132100541,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","9",-0.101385796329481,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","10",-0.0181591166947935,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","11",0.166010852490214,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","12",-0.0652512011697061,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","13",-0.126375016727259,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Stochastic frontier","14",0.0905104627744777,"implied as negative sum of explicit effects"
"Claude Sonnet 5","Spike + contention","1",0.0222355802501599,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","2",0.0325905133333143,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","3",-0.149179698347219,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","4",-0.0418529930244777,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","5",0.264989083995553,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","6",0.0543148403403973,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","7",-0.00654114348534732,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","8",-0.131473454669568,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","9",-0.0585123279205795,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","10",-0.0226904584902427,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","11",0.126274111124877,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","12",-0.073591464369608,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","13",-0.112155196354288,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Spike + contention","14",0.0955926076170277,"implied as negative sum of explicit effects"
"Claude Opus 5","Stochastic frontier","1",0.768505672169448,"explicit sum-contrast coefficient"
"Claude Opus 5","Stochastic frontier","2",0.0654528551578265,"explicit sum-contrast coefficient"
"Claude Opus 5","Stochastic frontier","3",-0.720974078387725,"explicit sum-contrast coefficient"
"Claude Opus 5","Stochastic frontier","4",0.866714613538876,"explicit sum-contrast coefficient"
"Claude Opus 5","Stochastic frontier","5",-0.0562760808428776,"explicit sum-contrast coefficient"
"Claude Opus 5","Stochastic frontier","6",-0.923422981635548,"implied as negative sum of explicit effects"
"Claude Opus 5","Spike + contention","1",0.784732870108963,"explicit sum-contrast coefficient"
"Claude Opus 5","Spike + contention","2",0.0854265646231055,"explicit sum-contrast coefficient"
"Claude Opus 5","Spike + contention","3",-0.684489564343973,"explicit sum-contrast coefficient"
"Claude Opus 5","Spike + contention","4",0.676194049938993,"explicit sum-contrast coefficient"
"Claude Opus 5","Spike + contention","5",0.00204194191987259,"explicit sum-contrast coefficient"
"Claude Opus 5","Spike + contention","6",-0.86390586224696,"implied as negative sum of explicit effects"
