"model","iteration","gamma"
"GPT-5.6 Terra",64,7.25803727196063
"GPT-5.6 Terra",65,8.94914545946477
"GPT-5.6 Terra",66,7.07665939460081
"GPT-5.6 Terra",67,7.45642879521118
"GPT-5.6 Terra",68,8.48315486112562
"GPT-5.6 Terra",69,7.99788775889381
"GPT-5.6 Terra",70,7.74009319812154
"GPT-5.6 Terra",71,8.81553891083108
"GPT-5.6 Terra",72,8.59096705718945
"GPT-5.6 Terra",73,7.18349604701495
"GPT-5.6 Terra",74,7.5794680269475
"GPT-5.6 Terra",75,8.34265489624246
"GPT-5.6 Terra",76,6.75054934442614
"GPT-5.6 Terra",77,7.51899944205665
"GPT-5.6 Terra",78,7.17299297259613
"GPT-5.6 Terra",79,8.11598347931866
"GPT-5.6 Terra",80,8.36800165896326
"GPT-5.6 Terra",81,7.18014161843075
"GPT-5.6 Terra",82,8.59071687323206
"GPT-5.6 Terra",83,7.68618980547464
"GPT-5.6 Terra",84,8.09211175616182
"GPT-5.6 Terra",85,8.47820021068363
"GPT-5.6 Terra",86,8.16430840312713
"GPT-5.6 Terra",87,8.36296865846243
"GPT-5.6 Terra",88,8.18250456010455
"GPT-5.6 Terra",89,8.24810375589674
"GPT-5.6 Terra",90,7.01873609816403
"GPT-5.6 Terra",91,8.05853474610075
"GPT-5.6 Terra",92,10.2199998677834
"GPT-5.6 Terra",93,8.24452613540584
"GPT-5.6 Terra",94,8.0698613750947
"GPT-5.6 Terra",95,8.70870228592735
"GPT-5.6 Terra",96,8.70731531763198
"GPT-5.6 Terra",97,7.80342178216779
"GPT-5.6 Terra",98,8.53591797401125
"GPT-5.6 Terra",99,8.47231282939233
"GPT-5.6 Terra",100,8.57562374740034
"GPT-5.6 Terra",101,7.19001363937193
"GPT-5.6 Terra",102,7.85608374610796
"GPT-5.6 Terra",103,8.58179078675205
"GPT-5.6 Terra",104,8.40365916206133
"GPT-5.6 Terra",105,8.59560101378093
"GPT-5.6 Terra",106,7.63464601832683
"GPT-5.6 Terra",107,7.84465499977186
"GPT-5.6 Terra",108,8.30807837215213
"GPT-5.6 Terra",109,8.54466983927556
"GPT-5.6 Terra",110,9.06448369276356
"GPT-5.6 Terra",111,7.13667614803483
"GPT-5.6 Terra",112,7.72287516048776
"GPT-5.6 Terra",113,7.6345775260747
"GPT-5.6 Terra",114,6.72571659965512
"GPT-5.6 Terra",115,8.67218251008495
"GPT-5.6 Terra",116,6.99918212760138
"GPT-5.6 Terra",117,7.97361812382249
"GPT-5.6 Terra",118,7.34445390152535
"GPT-5.6 Terra",119,8.83663092825982
"GPT-5.6 Terra",120,7.36595352309759
"GPT-5.6 Terra",121,8.9282193054757
"GPT-5.6 Terra",122,8.44582566429028
"GPT-5.6 Terra",123,8.57282848494992
"GPT-5.6 Terra",124,8.86140717117816
"GPT-5.6 Terra",125,7.95434561740994
"GPT-5.6 Terra",126,6.82096809237824
"GPT-5.6 Terra",127,7.99172130572147
"GPT-5.6 Terra",128,8.11643411381149
"GPT-5.6 Terra",129,8.58673986832665
"GPT-5.6 Terra",130,8.93235675765188
"GPT-5.6 Terra",131,7.50375915823392
"GPT-5.6 Terra",132,8.65846299175326
"GPT-5.6 Terra",133,8.57482130242718
"GPT-5.6 Terra",134,7.82590006411254
"GPT-5.6 Terra",135,7.96756673275382
"GPT-5.6 Terra",136,8.79822791928903
"GPT-5.6 Terra",137,10.2474898830346
"GPT-5.6 Terra",138,8.44777376154337
"GPT-5.6 Terra",139,8.48315486112563
"GPT-5.6 Terra",140,7.73450006075238
"GPT-5.6 Terra",141,8.26869219425908
"GPT-5.6 Terra",142,7.74478026977529
"GPT-5.6 Terra",143,8.43261989436745
"GPT-5.6 Terra",144,8.24194674141411
"GPT-5.6 Terra",145,7.42361359281989
"GPT-5.6 Terra",146,8.62273042586349
"GPT-5.6 Terra",147,8.31266279709769
"GPT-5.6 Terra",148,7.67524996057841
"GPT-5.6 Terra",149,8.96103906865443
"GPT-5.6 Terra",150,8.31382031753898
"GPT-5.6 Terra",151,7.58158139156985
"GPT-5.6 Terra",152,7.67998731456577
"GPT-5.6 Terra",153,7.96311273221515
"GPT-5.6 Terra",154,8.95318070154521
"GPT-5.6 Terra",155,6.70784823837321
"GPT-5.6 Terra",156,8.20217947635284
"GPT-5.6 Terra",157,7.48739823395479
"GPT-5.6 Terra",158,8.00185842648716
"GPT-5.6 Terra",159,7.90947519535222
"GPT-5.6 Terra",160,8.29785881772756
"GPT-5.6 Terra",161,8.23866046961291
"GPT-5.6 Terra",162,7.63161399469065
"GPT-5.6 Terra",163,8.19593785403234
"GPT-5.6 Terra",164,8.46979520455644
"GPT-5.6 Terra",165,9.12071473589936
"GPT-5.6 Terra",166,7.9316387016342
"GPT-5.6 Terra",167,8.38873322612155
"GPT-5.6 Terra",168,8.14955053225443
"GPT-5.6 Terra",169,7.76958677513148
"GPT-5.6 Terra",170,8.21406194274899
"GPT-5.6 Terra",171,8.4947811377424
"GPT-5.6 Terra",172,8.80306108074104
"GPT-5.6 Terra",173,9.2377784099433
"GPT-5.6 Terra",174,8.58007615872576
"GPT-5.6 Terra",175,7.77181699676288
"GPT-5.6 Terra",176,8.70676537137798
"GPT-5.6 Terra",177,7.91572496488515
"GPT-5.6 Terra",178,7.63449446837435
"GPT-5.6 Terra",179,6.85181057556804
"GPT-5.6 Terra",180,7.14286243780881
"GPT-5.6 Terra",181,7.62890064845096
"GPT-5.6 Terra",182,7.5794680269475
"GPT-5.6 Terra",183,8.74260535255277
"GPT-5.6 Terra",184,8.46540742604694
"GPT-5.6 Terra",185,8.08890978549692
"GPT-5.6 Terra",186,7.35237329036119
"GPT-5.6 Terra",187,8.71416510670082
"GPT-5.6 Terra",188,9.32624159755732
"GPT-5.6 Terra",189,9.00557516850787
"GPT-5.6 Terra",190,7.68855903606225
"GPT-5.6 Terra",191,7.54504906397041
"GPT-5.6 Terra",192,7.26505514211112
"GPT-5.6 Terra",193,8.64194124802377
"GPT-5.6 Terra",194,7.57267735037076
"GPT-5.6 Terra",195,8.92821930547571
"GPT-5.6 Terra",196,8.65011666655492
"GPT-5.6 Terra",197,8.32580258036699
"GPT-5.6 Terra",198,8.18533057908656
"GPT-5.6 Terra",199,8.56293012098991
"GPT-5.6 Terra",200,8.55713676833054
"GPT-5.6 Terra",201,8.38448430565291
"GPT-5.6 Terra",202,8.58694899300432
"GPT-5.6 Terra",203,8.40395389196404
"GPT-5.6 Terra",204,8.16395568004417
"GPT-5.6 Terra",205,7.95951026898102
"GPT-5.6 Terra",206,7.79629321368766
"GPT-5.6 Terra",207,8.72117516309523
"GPT-5.6 Terra",208,8.44777376154338
"GPT-5.6 Terra",209,7.99413166170793
"GPT-5.6 Terra",210,7.93371008830868
"GPT-5.6 Terra",211,8.1538661531826
"GPT-5.6 Terra",212,8.220133506587
"GPT-5.6 Terra",213,8.13732140037624
"GPT-5.6 Terra",214,8.48750541280445
"GPT-5.6 Terra",215,7.88301558883661
"GPT-5.6 Terra",216,8.2785676665375
"GPT-5.6 Terra",217,7.57889644710244
"GPT-5.6 Terra",218,8.85920531638574
"GPT-5.6 Terra",219,7.48658964547999
"GPT-5.6 Terra",220,7.29942867385645
"GPT-5.6 Terra",221,7.86564846089523
"GPT-5.6 Terra",222,7.5368564241763
"GPT-5.6 Terra",223,8.28395632019392
"GPT-5.6 Terra",224,8.65121391997635
"GPT-5.6 Terra",225,8.33707100376463
"GPT-5.6 Terra",226,8.42533760984765
"GPT-5.6 Terra",227,7.9100710853223
"GPT-5.6 Terra",228,8.2245820862125
"GPT-5.6 Terra",229,8.22015819143572
"GPT-5.6 Terra",230,8.28538587846712
"GPT-5.6 Terra",231,7.78694274865833
"GPT-5.6 Terra",232,7.64932469963604
"GPT-5.6 Terra",233,6.75305161809785
"GPT-5.6 Terra",234,7.09671463692563
"GPT-5.6 Terra",235,8.99661806822244
"GPT-5.6 Terra",236,8.85811121034751
"GPT-5.6 Terra",237,7.69144800618294
"GPT-5.6 Terra",238,7.92525812728716
"GPT-5.6 Terra",239,8.18792219074409
"GPT-5.6 Terra",240,6.71016075220687
"GPT-5.6 Terra",241,6.68790519203916
"GPT-5.6 Terra",242,8.00424060911373
"GPT-5.6 Terra",243,8.76980600705469
"GPT-5.6 Terra",244,8.97431128367077
"GPT-5.6 Terra",245,7.95593225332088
"GPT-5.6 Terra",246,8.30532098981087
"GPT-5.6 Terra",247,7.44650010639678
"GPT-5.6 Terra",248,8.29864488058989
"GPT-5.6 Terra",249,7.44733670760416
"GPT-5.6 Terra",250,7.7792371486854
"GPT-5.6 Terra",251,8.62596457306299
"GPT-5.6 Terra",252,8.63006065619983
"GPT-5.6 Terra",253,7.82790050131235
"GPT-5.6 Terra",254,8.43854689576479
"GPT-5.6 Terra",255,8.39648735718265
"GPT-5.6 Terra",256,8.00644993099652
"GPT-5.6 Terra",257,9.44970636853255
"GPT-5.6 Terra",258,7.59557126949499
"GPT-5.6 Terra",259,8.19074221344474
"GPT-5.6 Terra",260,7.61128284749025
"GPT-5.6 Terra",261,10.5384186077705
"GPT-5.6 Terra",262,7.38724995533795
"GPT-5.6 Terra",263,7.98160782317688
"GPT-5.6 Terra",264,7.85848940931566
"GPT-5.6 Terra",265,8.69106792005209
"GPT-5.6 Terra",266,7.89438884206766
"GPT-5.6 Terra",267,8.34932386380419
"GPT-5.6 Terra",268,7.92845293026829
"GPT-5.6 Terra",269,6.79905707276597
"GPT-5.6 Terra",270,7.98579926426077
"GPT-5.6 Terra",271,6.93351195231155
"GPT-5.6 Terra",272,8.47231282939233
"GPT-5.6 Terra",273,8.20839258667604
"GPT-5.6 Terra",274,8.79282602684012
"GPT-5.6 Terra",275,7.77478238750232
"GPT-5.6 Terra",276,8.85049292433281
"GPT-5.6 Terra",277,8.74082181170405
"GPT-5.6 Terra",278,8.05842580471093
"GPT-5.6 Terra",279,8.7103621592526
"GPT-5.6 Terra",280,8.42325433534167
"GPT-5.6 Terra",281,8.24956355542817
"GPT-5.6 Terra",282,8.83907484228598
"GPT-5.6 Terra",283,8.19074221344474
"GPT-5.6 Terra",284,8.44739798795196
"GPT-5.6 Terra",285,7.63464601832685
"GPT-5.6 Terra",286,8.49035225193905
"GPT-5.6 Terra",287,8.40817737013213
"GPT-5.6 Terra",288,8.94838611158827
"GPT-5.6 Terra",289,7.84317430467348
"GPT-5.6 Terra",290,8.26759438148093
"GPT-5.6 Terra",291,8.9033216712964
"GPT-5.6 Terra",292,8.81911983150334
"GPT-5.6 Terra",293,8.46979520455643
"GPT-5.6 Terra",294,8.01279453536667
"GPT-5.6 Terra",295,8.59850919543977
"GPT-5.6 Terra",296,7.34834000622482
"GPT-5.6 Terra",297,7.7462943261304
"GPT-5.6 Terra",298,7.95252641837223
"GPT-5.6 Terra",299,7.77332092563038
"GPT-5.6 Terra",300,7.02208513811506
"GPT-5.6 Terra",301,8.29297718047792
"GPT-5.6 Terra",302,7.34902638028136
"GPT-5.6 Terra",303,8.73877066585628
"GPT-5.6 Terra",304,7.55327594505838
"GPT-5.6 Terra",305,8.17731192279435
"GPT-5.6 Terra",306,8.53660600206617
"GPT-5.6 Terra",307,8.20930072521135
"GPT-5.6 Terra",308,7.97350353441162
"GPT-5.6 Terra",309,8.89619129496744
"GPT-5.6 Terra",310,7.82033154702127
"GPT-5.6 Terra",311,8.70984599312686
"GPT-5.6 Terra",312,8.71063988199931
"GPT-5.6 Terra",313,7.15323309992018
"GPT-5.6 Terra",314,8.05140432115503
"GPT-5.6 Terra",315,8.88148185155557
"GPT-5.6 Terra",316,8.30807837215212
"GPT-5.6 Terra",317,7.77910470273428
"GPT-5.6 Terra",318,7.78307834013323
"GPT-5.6 Terra",319,9.13499368748801
"GPT-5.6 Terra",320,8.34946965666229
"GPT-5.6 Terra",321,7.81907412055156
"GPT-5.6 Terra",322,8.82183655810612
"GPT-5.6 Terra",323,8.50356792735734
"GPT-5.6 Terra",324,8.65122226237858
"GPT-5.6 Terra",325,8.26041224789462
"GPT-5.6 Terra",326,8.22460326381158
"GPT-5.6 Terra",327,7.84454094654772
"GPT-5.6 Terra",328,8.56626880510708
"GPT-5.6 Terra",329,7.52675066523118
"GPT-5.6 Terra",330,8.7523367864213
"GPT-5.6 Terra",331,7.85848940931566
"GPT-5.6 Terra",332,8.27156433902366
"GPT-5.6 Terra",333,8.66128363988566
"GPT-5.6 Terra",334,7.30754337890881
"GPT-5.6 Terra",335,7.89024123940752
"GPT-5.6 Terra",336,8.39648735718265
"GPT-5.6 Terra",337,8.20592881801905
"GPT-5.6 Terra",338,7.73523583578113
"GPT-5.6 Terra",339,8.06850148848185
"GPT-5.6 Terra",340,8.04249586938239
"GPT-5.6 Terra",341,7.58032031806622
"GPT-5.6 Terra",342,7.08103388807263
"GPT-5.6 Terra",343,8.28773079983203
"GPT-5.6 Terra",344,9.02338476134228
"GPT-5.6 Terra",345,8.78079260228315
"GPT-5.6 Terra",346,6.7076535426807
"GPT-5.6 Terra",347,7.1051503167783
"GPT-5.6 Terra",348,8.24956355542818
"GPT-5.6 Terra",349,7.60958880025646
"GPT-5.6 Terra",350,8.06031361851753
"GPT-5.6 Terra",351,8.78050488140969
"GPT-5.6 Terra",352,7.35486906219429
"GPT-5.6 Terra",353,7.31447599055045
"GPT-5.6 Terra",354,7.81449987027729
"GPT-5.6 Terra",355,7.44650010639677
"GPT-5.6 Terra",356,8.82003685685004
"GPT-5.6 Terra",357,7.60477903631599
"GPT-5.6 Terra",358,7.62540993776383
"GPT-5.6 Terra",359,8.81911983150334
"GPT-5.6 Terra",360,8.50932851610479
"GPT-5.6 Terra",361,7.79138620715443
"GPT-5.6 Terra",362,8.78146467702431
"GPT-5.6 Terra",363,8.12315567806853
"GPT-5.6 Terra",364,7.38291747360758
"GPT-5.6 Terra",365,8.20217947635283
"GPT-5.6 Terra",366,7.83347789618011
"GPT-5.6 Terra",367,7.43376209706616
"GPT-5.6 Terra",368,8.60636009334455
"GPT-5.6 Terra",369,7.3143614526899
"GPT-5.6 Terra",370,7.8329082890145
"GPT-5.6 Terra",371,8.52035268899914
"GPT-5.6 Terra",372,7.83561270961892
"GPT-5.6 Terra",373,7.97631700005106
"GPT-5.6 Terra",374,9.00283633428585
"GPT-5.6 Terra",375,7.05650535606981
"GPT-5.6 Terra",376,7.61128284749023
"GPT-5.6 Terra",377,7.52808353058654
"GPT-5.6 Terra",378,9.1173730948
"GPT-5.6 Terra",379,8.75094698842868
"GPT-5.6 Terra",380,7.78694274865834
"GPT-5.6 Terra",381,7.70287593648895
"GPT-5.6 Terra",382,8.73093032964607
"GPT-5.6 Terra",383,8.90297979010508
"GPT-5.6 Terra",384,8.31253584331784
"GPT-5.6 Terra",385,8.65109116551824
"GPT-5.6 Terra",386,8.18008537361905
"GPT-5.6 Terra",387,7.96591854141661
"GPT-5.6 Terra",388,7.57734359881903
"GPT-5.6 Terra",389,8.70616872857289
"GPT-5.6 Terra",390,7.68839839947939
"GPT-5.6 Terra",391,7.95634171482864
"GPT-5.6 Terra",392,7.9181680429173
"GPT-5.6 Terra",393,7.79461058621066
"GPT-5.6 Terra",394,7.07662832653645
"GPT-5.6 Terra",395,8.02712455628692
"GPT-5.6 Terra",396,7.77507962921328
"GPT-5.6 Terra",397,7.77181699676288
"GPT-5.6 Terra",398,7.39834001525566
"GPT-5.6 Terra",399,7.74306532201551
"GPT-5.6 Terra",400,9.00138770529736
"GPT-5.6 Terra",401,7.77181699676288
"GPT-5.6 Terra",402,8.70870228592734
"GPT-5.6 Terra",403,8.76397446689159
"GPT-5.6 Terra",404,7.62890064845095
"GPT-5.6 Terra",405,6.79755406080192
"GPT-5.6 Terra",406,8.27156433902365
"GPT-5.6 Terra",407,6.45997669847651
"GPT-5.6 Terra",408,8.63011044963201
"GPT-5.6 Terra",409,7.3683847281978
"GPT-5.6 Terra",410,8.38725692857175
"GPT-5.6 Terra",411,8.90049025904471
"GPT-5.6 Terra",412,8.28686906529323
"GPT-5.6 Terra",413,8.90173887250909
"GPT-5.6 Terra",414,8.14425141361588
"GPT-5.6 Terra",415,6.86445277114892
"GPT-5.6 Terra",416,8.65011666655494
"GPT-5.6 Terra",417,8.71875307018407
"GPT-5.6 Terra",418,8.79275305915552
"GPT-5.6 Terra",419,8.12989413521291
"GPT-5.6 Terra",420,6.94345742729116
"GPT-5.6 Terra",421,7.94822615966133
"GPT-5.6 Terra",422,8.93762382331789
"GPT-5.6 Terra",423,7.08759622132214
"GPT-5.6 Terra",424,7.47612725985896
"GPT-5.6 Terra",425,8.28377345506845
"GPT-5.6 Terra",426,8.93615310158351
"GPT-5.6 Terra",427,7.51331783245191
"GPT-5.6 Terra",428,7.89456742777271
"GPT-5.6 Terra",429,8.22073222251359
"GPT-5.6 Terra",430,7.79910233587532
"GPT-5.6 Terra",431,6.91519390054017
"GPT-5.6 Terra",432,7.805470148498
"GPT-5.6 Terra",433,8.96121535828096
"GPT-5.6 Terra",434,7.94050128377566
"GPT-5.6 Terra",435,7.7638022088544
"GPT-5.6 Terra",436,8.59096705718945
"GPT-5.6 Terra",437,8.24956355542819
"GPT-5.6 Terra",438,6.80272682969337
"GPT-5.6 Terra",439,7.70553356468342
"GPT-5.6 Terra",440,8.41351390920766
"GPT-5.6 Terra",441,8.70888520284128
"GPT-5.6 Terra",442,8.53790138088478
"GPT-5.6 Terra",443,7.4792596661012
"GPT-5.6 Terra",444,8.38606806669006
"GPT-5.6 Terra",445,8.13103563182383
"GPT-5.6 Terra",446,8.87850517459944
"GPT-5.6 Terra",447,8.899875587066
"GPT-5.6 Terra",448,8.68910331768658
"GPT-5.6 Terra",449,8.83198252953072
"GPT-5.6 Terra",450,8.30723526423859
"GPT-5.6 Terra",451,7.67146384929882
"GPT-5.6 Terra",452,8.52648993280798
"GPT-5.6 Terra",453,7.8442374228693
"GPT-5.6 Terra",454,8.03139864224617
"GPT-5.6 Terra",455,8.25598762992458
"GPT-5.6 Terra",456,8.46979520455643
"GPT-5.6 Terra",457,7.66584961879982
"GPT-5.6 Terra",458,7.60828981403282
"GPT-5.6 Terra",459,8.05636782270608
"GPT-5.6 Terra",460,7.14952842047774
"GPT-5.6 Terra",461,9.00976988782846
"GPT-5.6 Terra",462,8.18640777617733
"GPT-5.6 Terra",463,7.03353073061034
"GPT-5.6 Terra",464,9.12100942949388
"GPT-5.6 Terra",465,6.80272682969335
"GPT-5.6 Terra",466,8.85156608372137
"GPT-5.6 Terra",467,6.94808673513769
"GPT-5.6 Terra",468,8.36567940469553
"GPT-5.6 Terra",469,8.55379514378977
"GPT-5.6 Terra",470,8.8341919893252
"GPT-5.6 Terra",471,8.16430840312713
"GPT-5.6 Terra",472,7.02421671010215
"GPT-5.6 Terra",473,8.91185607792078
"GPT-5.6 Terra",474,7.59345372150733
"GPT-5.6 Terra",475,9.02000223532669
"GPT-5.6 Terra",476,8.20568558526376
"GPT-5.6 Terra",477,8.38589737829375
"GPT-5.6 Terra",478,8.79627759644515
"GPT-5.6 Terra",479,8.57543865095782
"GPT-5.6 Terra",480,8.20616169518572
"GPT-5.6 Terra",481,7.61128284749025
"GPT-5.6 Terra",482,8.58381072766079
"GPT-5.6 Terra",483,7.84669213333426
"GPT-5.6 Terra",484,7.6264477993116
"GPT-5.6 Terra",485,8.04249586938238
"GPT-5.6 Terra",486,7.75702285091623
"GPT-5.6 Terra",487,8.78146467702431
"GPT-5.6 Terra",488,8.03547746705014
"GPT-5.6 Terra",489,8.44963837541384
"GPT-5.6 Terra",490,8.10277740887211
"GPT-5.6 Terra",491,8.41784711823037
"GPT-5.6 Terra",492,8.6544025725726
"GPT-5.6 Terra",493,8.09746582389152
"GPT-5.6 Terra",494,7.49915293403295
"GPT-5.6 Terra",495,8.58694899300431
"GPT-5.6 Terra",496,8.3778893238265
"GPT-5.6 Terra",497,8.67096868576681
"GPT-5.6 Terra",498,8.17731192279435
"GPT-5.6 Terra",499,7.12668586898131
"GPT-5.6 Terra",500,8.391059784133
"GPT-5.6 Terra",501,8.01248519959511
"GPT-5.6 Terra",502,8.05999281003901
"GPT-5.6 Terra",503,7.89821943183797
"GPT-5.6 Terra",504,7.83737454714197
"GPT-5.6 Terra",505,8.90930171275543
"GPT-5.6 Terra",506,7.01340327890772
"GPT-5.6 Terra",507,8.05853474610075
"GPT-5.6 Terra",508,7.71351121636928
"GPT-5.6 Terra",509,8.52589319267357
"GPT-5.6 Terra",510,8.77211738385868
"GPT-5.6 Terra",511,7.65473770444954
"GPT-5.6 Terra",512,8.54062383806532
"GPT-5.6 Terra",513,7.33626953720372
"GPT-5.6 Terra",514,7.0822266330085
"GPT-5.6 Terra",515,7.80614506191122
"GPT-5.6 Terra",516,7.73782078358417
"GPT-5.6 Terra",517,8.24810375589673
"GPT-5.6 Terra",518,8.49242237725444
"GPT-5.6 Terra",519,8.76174463069129
"GPT-5.6 Terra",520,8.34946965666228
"GPT-5.6 Terra",521,8.34241358852984
"GPT-5.6 Terra",522,7.8094008634609
"GPT-5.6 Terra",523,7.42444110717154
"GPT-5.6 Terra",524,8.15279705983378
"GPT-5.6 Terra",525,8.74425624529895
"GPT-5.6 Terra",526,8.54029962286346
"GPT-5.6 Terra",527,7.76359151785845
"GPT-5.6 Terra",528,7.95266531242963
"GPT-5.6 Terra",529,7.83703614192616
"GPT-5.6 Terra",530,8.72297239533887
"GPT-5.6 Terra",531,8.30668948793736
"GPT-5.6 Terra",532,8.83641626528198
"GPT-5.6 Terra",533,9.08030986304727
"GPT-5.6 Terra",534,8.85054177535868
"GPT-5.6 Terra",535,7.5532759450584
"GPT-5.6 Terra",536,7.88450756869535
"GPT-5.6 Terra",537,7.29942867385646
"GPT-5.6 Terra",538,7.37782503653278
"GPT-5.6 Terra",539,8.93606366078991
"GPT-5.6 Terra",540,9.70662272071123
"GPT-5.6 Terra",541,8.98351906571301
"GPT-5.6 Terra",542,7.17299297259613
"GPT-5.6 Terra",543,7.71262237557002
"GPT-5.6 Terra",544,7.88947878224657
"GPT-5.6 Terra",545,8.0762259661708
"GPT-5.6 Terra",546,7.16556554458848
"GPT-5.6 Terra",547,8.49938867884722
"GPT-5.6 Terra",548,8.97807618121189
"GPT-5.6 Terra",549,8.07203728907562
"GPT-5.6 Terra",550,8.67408309287131
"GPT-5.6 Terra",551,7.38004393364877
"GPT-5.6 Terra",552,8.89591515389043
"GPT-5.6 Terra",553,8.51127177344227
"GPT-5.6 Terra",554,8.86882235108981
"GPT-5.6 Terra",555,7.78521770059069
"GPT-5.6 Terra",556,7.06248634438084
"GPT-5.6 Terra",557,8.23069534330839
"GPT-5.6 Terra",558,8.65978350606554
"GPT-5.6 Terra",559,8.09252266317869
"GPT-5.6 Terra",560,7.96203221371614
"GPT-5.6 Terra",561,7.75285637320619
"GPT-5.6 Terra",562,8.24620601652625
"GPT-5.6 Terra",563,8.08532631448092
"GPT-5.6 Terra",564,7.66410413171082
"GPT-5.6 Terra",565,7.02208513811507
"GPT-5.6 Terra",566,8.88193343400864
"GPT-5.6 Terra",567,8.0243330106184
"GPT-5.6 Terra",568,7.25538024780397
"GPT-5.6 Terra",569,7.85954945071843
"GPT-5.6 Terra",570,7.78037431222961
"GPT-5.6 Terra",571,9.25933063804059
"GPT-5.6 Terra",572,8.76174463069129
"GPT-5.6 Terra",573,8.68311986032595
"GPT-5.6 Terra",574,7.39757023263366
"GPT-5.6 Terra",575,8.34265489624246
"GPT-5.6 Terra",576,7.32112306630571
"GPT-5.6 Terra",577,8.25598762992459
"GPT-5.6 Terra",578,8.33808524210115
"GPT-5.6 Terra",579,8.30668948793736
"GPT-5.6 Terra",580,8.33698130470822
"GPT-5.6 Terra",581,7.4442954546263
"GPT-5.6 Terra",582,7.79746270736669
"GPT-5.6 Terra",583,9.02447557770386
"GPT-5.6 Terra",584,8.0831098286599
"GPT-5.6 Terra",585,8.16308754136391
"GPT-5.6 Terra",586,8.95217284597542
"GPT-5.6 Terra",587,8.4563465314953
"GPT-5.6 Terra",588,8.09036412970507
"GPT-5.6 Terra",589,7.70816120890213
"GPT-5.6 Terra",590,8.48519487229818
"GPT-5.6 Terra",591,7.70584836412835
"GPT-5.6 Terra",592,8.53293747139809
"GPT-5.6 Terra",593,8.06850148848186
"GPT-5.6 Terra",594,7.19146036329745
"GPT-5.6 Terra",595,10.4142509185721
"GPT-5.6 Terra",596,7.94747037414122
"GPT-5.6 Terra",597,7.94476339789677
"GPT-5.6 Terra",598,8.50661176260426
"GPT-5.6 Terra",599,7.61128284749025
"GPT-5.6 Terra",600,8.42129666844842
"GPT-5.6 Terra",601,8.39648735718266
"GPT-5.6 Terra",602,7.36311735343791
"GPT-5.6 Terra",603,6.4599766984765
"GPT-5.6 Terra",604,8.96904125872409
"GPT-5.6 Terra",605,7.68133277967334
"GPT-5.6 Terra",606,8.45578805137247
"GPT-5.6 Terra",607,7.73523583578112
