"model","estimator","iteration","gamma","any_parameter_boundary"
"GPT-5.6 Terra","Stochastic frontier",63,8.58246888539478,FALSE
"GPT-5.6 Terra","Stochastic frontier",64,7.5096495329708,FALSE
"GPT-5.6 Terra","Stochastic frontier",65,6.79338258647658,FALSE
"GPT-5.6 Terra","Stochastic frontier",66,7.03400686660499,FALSE
"GPT-5.6 Terra","Stochastic frontier",67,7.47388093652048,FALSE
"GPT-5.6 Terra","Stochastic frontier",68,6.86607342954164,FALSE
"GPT-5.6 Terra","Stochastic frontier",69,7.03461398712947,FALSE
"GPT-5.6 Terra","Stochastic frontier",70,7.0457184046141,FALSE
"GPT-5.6 Terra","Stochastic frontier",71,7.11133972582624,FALSE
"GPT-5.6 Terra","Stochastic frontier",72,7.28526831717356,FALSE
"GPT-5.6 Terra","Stochastic frontier",73,7.40906424884078,FALSE
"GPT-5.6 Terra","Stochastic frontier",74,6.92769862794415,FALSE
"GPT-5.6 Terra","Stochastic frontier",75,8.50365104625396,FALSE
"GPT-5.6 Terra","Stochastic frontier",76,7.59444588709232,FALSE
"GPT-5.6 Terra","Stochastic frontier",77,8.32875333015581,FALSE
"GPT-5.6 Terra","Stochastic frontier",78,7.45509145068548,FALSE
"GPT-5.6 Terra","Stochastic frontier",79,8.12742241432928,FALSE
"GPT-5.6 Terra","Stochastic frontier",80,7.76670168342299,FALSE
"GPT-5.6 Terra","Stochastic frontier",81,6.92459002283777,TRUE
"GPT-5.6 Terra","Stochastic frontier",82,7.19745785419546,FALSE
"GPT-5.6 Terra","Stochastic frontier",83,6.65348362523855,FALSE
"GPT-5.6 Terra","Stochastic frontier",84,7.19025130947078,FALSE
"GPT-5.6 Terra","Stochastic frontier",85,7.65381385658043,FALSE
"GPT-5.6 Terra","Stochastic frontier",86,7.19498621821563,FALSE
"GPT-5.6 Terra","Stochastic frontier",87,6.7652207376782,FALSE
"GPT-5.6 Terra","Stochastic frontier",88,7.13119797411491,FALSE
"GPT-5.6 Terra","Stochastic frontier",89,7.64679660400814,FALSE
"GPT-5.6 Terra","Stochastic frontier",90,8.19850313596634,FALSE
"GPT-5.6 Terra","Stochastic frontier",91,7.66101950367172,FALSE
"GPT-5.6 Terra","Stochastic frontier",92,6.78051847535066,FALSE
"GPT-5.6 Terra","Stochastic frontier",93,7.95491865047337,FALSE
"GPT-5.6 Terra","Stochastic frontier",94,8.36961927273338,FALSE
"GPT-5.6 Terra","Stochastic frontier",95,7.17735515726824,FALSE
"GPT-5.6 Terra","Stochastic frontier",96,7.80470782172,FALSE
"GPT-5.6 Terra","Stochastic frontier",97,7.3108710289361,FALSE
"GPT-5.6 Terra","Stochastic frontier",98,7.33714189889626,FALSE
"GPT-5.6 Terra","Stochastic frontier",99,7.35049751344909,FALSE
"GPT-5.6 Terra","Stochastic frontier",100,6.5653105380927,FALSE
"GPT-5.6 Terra","Stochastic frontier",101,7.19773285974816,FALSE
"GPT-5.6 Terra","Stochastic frontier",102,7.85977534585686,FALSE
"GPT-5.6 Terra","Stochastic frontier",103,7.11109945838687,FALSE
"GPT-5.6 Terra","Stochastic frontier",104,7.18866663382484,FALSE
"GPT-5.6 Terra","Stochastic frontier",105,8.2461578947799,FALSE
"GPT-5.6 Terra","Stochastic frontier",106,8.38806226540351,FALSE
"GPT-5.6 Terra","Stochastic frontier",107,8.13652452411727,FALSE
"GPT-5.6 Terra","Stochastic frontier",108,7.7960623163297,FALSE
"GPT-5.6 Terra","Stochastic frontier",109,7.35345274728172,FALSE
"GPT-5.6 Terra","Stochastic frontier",110,7.11131610452408,FALSE
"GPT-5.6 Terra","Stochastic frontier",111,7.71959232438233,FALSE
"GPT-5.6 Terra","Stochastic frontier",112,7.24600371113659,FALSE
"GPT-5.6 Terra","Stochastic frontier",113,6.60185819559834,FALSE
"GPT-5.6 Terra","Stochastic frontier",114,7.42737045453901,TRUE
"GPT-5.6 Terra","Stochastic frontier",115,7.93200000362763,FALSE
"GPT-5.6 Terra","Stochastic frontier",116,6.98492371694483,FALSE
"GPT-5.6 Terra","Stochastic frontier",117,8.1535258371654,FALSE
"GPT-5.6 Terra","Stochastic frontier",118,7.5440395485069,FALSE
"GPT-5.6 Terra","Stochastic frontier",119,7.43688317786971,FALSE
"GPT-5.6 Terra","Stochastic frontier",120,7.2627846325818,FALSE
"GPT-5.6 Terra","Stochastic frontier",121,7.80946019107946,FALSE
"GPT-5.6 Terra","Stochastic frontier",122,8.1386029005342,FALSE
"GPT-5.6 Terra","Stochastic frontier",123,6.64594232941521,FALSE
"GPT-5.6 Terra","Stochastic frontier",124,7.19845807305131,FALSE
"GPT-5.6 Terra","Stochastic frontier",125,7.24797931764192,FALSE
"GPT-5.6 Terra","Stochastic frontier",126,8.2265089061958,FALSE
"GPT-5.6 Terra","Stochastic frontier",127,8.52007570094604,FALSE
"GPT-5.6 Terra","Stochastic frontier",128,7.00993937147601,FALSE
"GPT-5.6 Terra","Stochastic frontier",129,7.49221141118391,FALSE
"GPT-5.6 Terra","Stochastic frontier",130,7.14661113950328,FALSE
"GPT-5.6 Terra","Stochastic frontier",131,7.51199630494604,FALSE
"GPT-5.6 Terra","Stochastic frontier",132,7.20097355488625,FALSE
"GPT-5.6 Terra","Stochastic frontier",133,6.72873386268269,FALSE
"GPT-5.6 Terra","Stochastic frontier",134,6.69373679610896,FALSE
"GPT-5.6 Terra","Stochastic frontier",135,7.23693401819308,FALSE
"GPT-5.6 Terra","Stochastic frontier",136,6.69118667562343,FALSE
"GPT-5.6 Terra","Stochastic frontier",137,7.03660226236557,FALSE
"GPT-5.6 Terra","Stochastic frontier",138,7.62144233009298,FALSE
"GPT-5.6 Terra","Stochastic frontier",139,8.59665711624132,FALSE
"GPT-5.6 Terra","Stochastic frontier",140,7.51995643362291,FALSE
"GPT-5.6 Terra","Stochastic frontier",141,6.81966797436546,FALSE
"GPT-5.6 Terra","Stochastic frontier",142,8.24306121186663,FALSE
"GPT-5.6 Terra","Stochastic frontier",143,7.26334819213571,FALSE
"GPT-5.6 Terra","Stochastic frontier",144,7.36198536264557,FALSE
"GPT-5.6 Terra","Stochastic frontier",145,6.99001383002474,FALSE
"GPT-5.6 Terra","Stochastic frontier",146,6.94683828052161,FALSE
"GPT-5.6 Terra","Stochastic frontier",147,7.90887793096691,FALSE
"GPT-5.6 Terra","Stochastic frontier",148,7.72913109184139,FALSE
"GPT-5.6 Terra","Stochastic frontier",149,6.9671414280764,FALSE
"GPT-5.6 Terra","Stochastic frontier",150,6.71953655772968,FALSE
"GPT-5.6 Terra","Stochastic frontier",151,8.29654472672552,FALSE
"GPT-5.6 Terra","Stochastic frontier",152,8.47103153239705,FALSE
"GPT-5.6 Terra","Stochastic frontier",153,6.73252838848864,FALSE
"GPT-5.6 Terra","Stochastic frontier",154,8.54759066827003,FALSE
"GPT-5.6 Terra","Stochastic frontier",155,7.54730382089678,FALSE
"GPT-5.6 Terra","Stochastic frontier",156,8.14709433332679,FALSE
"GPT-5.6 Terra","Stochastic frontier",157,8.59042575896383,FALSE
"GPT-5.6 Terra","Stochastic frontier",158,7.02515358796467,FALSE
"GPT-5.6 Terra","Stochastic frontier",159,6.94946831168695,FALSE
"GPT-5.6 Terra","Stochastic frontier",160,8.34085848589852,FALSE
"GPT-5.6 Terra","Stochastic frontier",161,7.70115706910655,FALSE
"GPT-5.6 Terra","Stochastic frontier",162,7.68470438530444,FALSE
"GPT-5.6 Terra","Stochastic frontier",163,7.37238011332283,FALSE
"GPT-5.6 Terra","Stochastic frontier",164,8.15584797786294,FALSE
"GPT-5.6 Terra","Stochastic frontier",165,7.53627436260714,FALSE
"GPT-5.6 Terra","Stochastic frontier",166,7.26277520129841,FALSE
"GPT-5.6 Terra","Stochastic frontier",167,7.37490751131152,FALSE
"GPT-5.6 Terra","Stochastic frontier",168,6.93609071040786,FALSE
"GPT-5.6 Terra","Stochastic frontier",169,6.99969664061536,FALSE
"GPT-5.6 Terra","Stochastic frontier",170,6.41826279912358,FALSE
"GPT-5.6 Terra","Stochastic frontier",171,7.85230099703544,FALSE
"GPT-5.6 Terra","Stochastic frontier",172,6.99696249409536,FALSE
"GPT-5.6 Terra","Stochastic frontier",173,7.91644781489708,FALSE
"GPT-5.6 Terra","Stochastic frontier",174,7.22781948589076,FALSE
"GPT-5.6 Terra","Stochastic frontier",175,6.93065991638337,FALSE
"GPT-5.6 Terra","Stochastic frontier",176,7.12447581605876,FALSE
"GPT-5.6 Terra","Stochastic frontier",177,7.89842237508539,FALSE
"GPT-5.6 Terra","Stochastic frontier",178,7.27436216613767,FALSE
"GPT-5.6 Terra","Stochastic frontier",179,7.70236702009283,FALSE
"GPT-5.6 Terra","Stochastic frontier",180,6.22979228148864,FALSE
"GPT-5.6 Terra","Stochastic frontier",181,7.00051000911532,FALSE
"GPT-5.6 Terra","Stochastic frontier",182,8.35496144398501,FALSE
"GPT-5.6 Terra","Stochastic frontier",183,6.69052032813394,FALSE
"GPT-5.6 Terra","Stochastic frontier",184,7.01719298015934,FALSE
"GPT-5.6 Terra","Stochastic frontier",185,8.04270735609911,FALSE
"GPT-5.6 Terra","Stochastic frontier",186,8.18224236720204,FALSE
"GPT-5.6 Terra","Stochastic frontier",187,7.02517076089923,FALSE
"GPT-5.6 Terra","Stochastic frontier",188,7.51995643362563,FALSE
"GPT-5.6 Terra","Stochastic frontier",189,7.84228595114947,FALSE
"GPT-5.6 Terra","Stochastic frontier",190,8.27526765547091,FALSE
"GPT-5.6 Terra","Stochastic frontier",191,7.81520644542505,FALSE
"GPT-5.6 Terra","Stochastic frontier",192,7.81646610372599,FALSE
"GPT-5.6 Terra","Stochastic frontier",193,6.94060875820428,FALSE
"GPT-5.6 Terra","Stochastic frontier",194,7.64460584143197,FALSE
"GPT-5.6 Terra","Stochastic frontier",195,6.78405546660901,FALSE
"GPT-5.6 Terra","Stochastic frontier",196,8.27011821918508,FALSE
"GPT-5.6 Terra","Stochastic frontier",197,7.57993084753208,FALSE
"GPT-5.6 Terra","Stochastic frontier",198,7.51328118517379,FALSE
"GPT-5.6 Terra","Stochastic frontier",199,8.82900055112304,FALSE
"GPT-5.6 Terra","Stochastic frontier",200,8.09953166648471,FALSE
"GPT-5.6 Terra","Spike + contention",1,6.75023247735022,FALSE
"GPT-5.6 Terra","Spike + contention",2,7.06554888572568,FALSE
"GPT-5.6 Terra","Spike + contention",3,7.14984681881108,FALSE
"GPT-5.6 Terra","Spike + contention",4,8.25849169027652,FALSE
"GPT-5.6 Terra","Spike + contention",5,8.0829826976901,FALSE
"GPT-5.6 Terra","Spike + contention",6,6.89265766134031,FALSE
"GPT-5.6 Terra","Spike + contention",7,8.10210847385009,FALSE
"GPT-5.6 Terra","Spike + contention",8,7.64493931953156,FALSE
"GPT-5.6 Terra","Spike + contention",9,8.14315062352711,FALSE
"GPT-5.6 Terra","Spike + contention",10,8.29174748096202,FALSE
"GPT-5.6 Terra","Spike + contention",11,7.5919785040999,FALSE
"GPT-5.6 Terra","Spike + contention",12,7.78407958814911,FALSE
"GPT-5.6 Terra","Spike + contention",13,6.92768849401509,FALSE
"GPT-5.6 Terra","Spike + contention",14,6.82813909164128,FALSE
"GPT-5.6 Terra","Spike + contention",15,8.31625350982608,FALSE
"GPT-5.6 Terra","Spike + contention",16,7.32650851144432,FALSE
"GPT-5.6 Terra","Spike + contention",17,7.39602779564967,FALSE
"GPT-5.6 Terra","Spike + contention",18,8.5893823450501,FALSE
"GPT-5.6 Terra","Spike + contention",19,8.45193415955501,FALSE
"GPT-5.6 Terra","Spike + contention",20,7.51858710933939,FALSE
"GPT-5.6 Terra","Spike + contention",21,6.01942866668589,FALSE
"GPT-5.6 Terra","Spike + contention",22,7.42886663175905,FALSE
"GPT-5.6 Terra","Spike + contention",23,7.73941480486299,FALSE
"GPT-5.6 Terra","Spike + contention",24,8.08078975715596,FALSE
"GPT-5.6 Terra","Spike + contention",25,7.87323415027285,FALSE
"GPT-5.6 Terra","Spike + contention",26,6.91586950123425,FALSE
"GPT-5.6 Terra","Spike + contention",27,8.31375618842885,FALSE
"GPT-5.6 Terra","Spike + contention",28,7.94204228162033,FALSE
"GPT-5.6 Terra","Spike + contention",29,6.95739012225676,FALSE
"GPT-5.6 Terra","Spike + contention",30,8.28251037428977,FALSE
"GPT-5.6 Terra","Spike + contention",31,8.33286597961524,FALSE
"GPT-5.6 Terra","Spike + contention",32,7.20680279849285,FALSE
"GPT-5.6 Terra","Spike + contention",33,8.75639488633842,FALSE
"GPT-5.6 Terra","Spike + contention",34,7.74946653323375,FALSE
"GPT-5.6 Terra","Spike + contention",35,6.96395901736813,FALSE
"GPT-5.6 Terra","Spike + contention",36,6.25498418392852,FALSE
"GPT-5.6 Terra","Spike + contention",37,8.0258059623938,FALSE
"GPT-5.6 Terra","Spike + contention",38,7.64547443568803,FALSE
"GPT-5.6 Terra","Spike + contention",39,6.82897202407266,FALSE
"GPT-5.6 Terra","Spike + contention",40,8.75924772547476,FALSE
"GPT-5.6 Terra","Spike + contention",41,7.75469342384191,FALSE
"GPT-5.6 Terra","Spike + contention",42,7.41056340664605,FALSE
"GPT-5.6 Terra","Spike + contention",43,6.36667231498262,FALSE
"GPT-5.6 Terra","Spike + contention",44,7.06163247908487,FALSE
"GPT-5.6 Terra","Spike + contention",45,6.19095470307018,FALSE
"GPT-5.6 Terra","Spike + contention",46,6.98443145958702,FALSE
"GPT-5.6 Terra","Spike + contention",47,8.14654464677875,FALSE
"GPT-5.6 Terra","Spike + contention",48,6.9632474480265,FALSE
"GPT-5.6 Terra","Spike + contention",49,8.09046567498631,FALSE
"GPT-5.6 Terra","Spike + contention",50,7.22868722610292,FALSE
"GPT-5.6 Terra","Spike + contention",51,8.84951657265319,FALSE
"GPT-5.6 Terra","Spike + contention",52,7.95246839209897,FALSE
"GPT-5.6 Terra","Spike + contention",53,7.09052128072932,FALSE
"GPT-5.6 Terra","Spike + contention",54,6.93659817446177,FALSE
"GPT-5.6 Terra","Spike + contention",55,8.89053236214424,FALSE
"GPT-5.6 Terra","Spike + contention",56,7.35119851911206,FALSE
"GPT-5.6 Terra","Spike + contention",57,8.16100889901099,FALSE
"GPT-5.6 Terra","Spike + contention",58,7.23390722382449,FALSE
"GPT-5.6 Terra","Spike + contention",59,7.42803916121685,FALSE
"GPT-5.6 Terra","Spike + contention",60,6.43369026026681,FALSE
"GPT-5.6 Terra","Spike + contention",61,8.96298178851512,FALSE
"GPT-5.6 Terra","Spike + contention",62,6.7631339329853,FALSE
"GPT-5.6 Terra","Spike + contention",63,8.03519524792959,FALSE
"GPT-5.6 Terra","Spike + contention",64,7.14998201884615,FALSE
"GPT-5.6 Terra","Spike + contention",65,8.0033487598622,FALSE
"GPT-5.6 Terra","Spike + contention",66,7.50233581567373,FALSE
"GPT-5.6 Terra","Spike + contention",67,8.44488050787001,FALSE
"GPT-5.6 Terra","Spike + contention",68,7.66152555117161,FALSE
"GPT-5.6 Terra","Spike + contention",69,8.42710896561611,FALSE
"GPT-5.6 Terra","Spike + contention",70,6.9212796066287,FALSE
"GPT-5.6 Terra","Spike + contention",71,7.12493688786878,FALSE
"GPT-5.6 Terra","Spike + contention",72,7.82746581831683,FALSE
"GPT-5.6 Terra","Spike + contention",73,8.65257792039683,FALSE
"GPT-5.6 Terra","Spike + contention",74,7.52100268654719,FALSE
"GPT-5.6 Terra","Spike + contention",75,8.49247606335286,FALSE
"GPT-5.6 Terra","Spike + contention",76,8.31502090259951,FALSE
"GPT-5.6 Terra","Spike + contention",77,7.47502391569858,FALSE
"GPT-5.6 Terra","Spike + contention",78,8.3038280948572,FALSE
"GPT-5.6 Terra","Spike + contention",79,8.64378520748703,FALSE
"GPT-5.6 Terra","Spike + contention",80,6.35528132460419,FALSE
"GPT-5.6 Terra","Spike + contention",81,7.50179853637993,FALSE
"GPT-5.6 Terra","Spike + contention",82,8.22281555272616,FALSE
"GPT-5.6 Terra","Spike + contention",83,7.23358999250847,FALSE
"GPT-5.6 Terra","Spike + contention",84,8.24268358297434,FALSE
"GPT-5.6 Terra","Spike + contention",85,8.64436139363863,FALSE
"GPT-5.6 Terra","Spike + contention",86,7.64076911434082,FALSE
"GPT-5.6 Terra","Spike + contention",87,6.61620091227617,FALSE
"GPT-5.6 Terra","Spike + contention",88,8.51495640319514,FALSE
"GPT-5.6 Terra","Spike + contention",89,8.35402054445298,FALSE
"GPT-5.6 Terra","Spike + contention",90,7.3790880720691,FALSE
"GPT-5.6 Terra","Spike + contention",91,7.91427774466022,FALSE
"GPT-5.6 Terra","Spike + contention",92,7.0685808224701,FALSE
"GPT-5.6 Terra","Spike + contention",93,6.97549092752122,FALSE
"GPT-5.6 Terra","Spike + contention",94,8.83213899220481,FALSE
"GPT-5.6 Terra","Spike + contention",95,8.5835780815902,FALSE
"GPT-5.6 Terra","Spike + contention",96,7.77080136627117,FALSE
"GPT-5.6 Terra","Spike + contention",97,7.32669414574367,FALSE
"GPT-5.6 Terra","Spike + contention",98,6.9700080051684,FALSE
"GPT-5.6 Terra","Spike + contention",99,7.66622179327382,FALSE
"GPT-5.6 Terra","Spike + contention",100,7.78268247786153,FALSE
"GPT-5.6 Terra","Spike + contention",101,8.51202092074223,FALSE
"GPT-5.6 Terra","Spike + contention",102,8.24189785037764,FALSE
"GPT-5.6 Terra","Spike + contention",103,7.19312354582591,FALSE
"GPT-5.6 Terra","Spike + contention",104,6.77864687818936,FALSE
"GPT-5.6 Terra","Spike + contention",105,7.16759562735663,FALSE
"GPT-5.6 Terra","Spike + contention",106,7.15317143569567,FALSE
"GPT-5.6 Terra","Spike + contention",107,7.72993352461667,FALSE
"GPT-5.6 Terra","Spike + contention",108,6.74549010141043,FALSE
"GPT-5.6 Terra","Spike + contention",109,6.95460089429101,FALSE
"GPT-5.6 Terra","Spike + contention",110,7.87986479630031,FALSE
"GPT-5.6 Terra","Spike + contention",111,7.6720649947011,FALSE
"GPT-5.6 Terra","Spike + contention",112,6.7944718687661,FALSE
"GPT-5.6 Terra","Spike + contention",113,9.06126754735409,FALSE
"GPT-5.6 Terra","Spike + contention",114,7.30432290917869,FALSE
"GPT-5.6 Terra","Spike + contention",115,8.21164244315914,FALSE
"GPT-5.6 Terra","Spike + contention",116,6.94547527738831,FALSE
"GPT-5.6 Terra","Spike + contention",117,6.37897175198168,FALSE
"GPT-5.6 Terra","Spike + contention",118,8.4294285858126,FALSE
"GPT-5.6 Terra","Spike + contention",119,8.38407562222848,FALSE
"GPT-5.6 Terra","Spike + contention",120,8.67405282423945,FALSE
"GPT-5.6 Terra","Spike + contention",121,7.14765261831809,FALSE
"GPT-5.6 Terra","Spike + contention",122,6.66191398385241,FALSE
"GPT-5.6 Terra","Spike + contention",123,7.77475033412503,FALSE
"GPT-5.6 Terra","Spike + contention",124,8.46123595816895,FALSE
"GPT-5.6 Terra","Spike + contention",125,7.5198743146719,FALSE
"GPT-5.6 Terra","Spike + contention",126,8.36859772803168,FALSE
"GPT-5.6 Terra","Spike + contention",127,7.78638135027667,FALSE
"GPT-5.6 Terra","Spike + contention",128,7.74170083467614,FALSE
"GPT-5.6 Terra","Spike + contention",129,8.35045876030917,FALSE
"GPT-5.6 Terra","Spike + contention",130,7.68355735868359,FALSE
"GPT-5.6 Terra","Spike + contention",131,7.30235500191746,FALSE
"GPT-5.6 Terra","Spike + contention",132,8.15857157839742,FALSE
"GPT-5.6 Terra","Spike + contention",133,8.60620256458082,FALSE
"GPT-5.6 Terra","Spike + contention",134,7.28965785692004,FALSE
"GPT-5.6 Terra","Spike + contention",135,8.03516457991437,FALSE
"GPT-5.6 Terra","Spike + contention",136,6.55918012390028,FALSE
"GPT-5.6 Terra","Spike + contention",137,5.72049907113589,FALSE
"GPT-5.6 Terra","Spike + contention",138,6.89140907094203,FALSE
"GPT-5.6 Terra","Spike + contention",139,7.80956688827166,FALSE
"GPT-5.6 Terra","Spike + contention",140,6.86860042038408,FALSE
"GPT-5.6 Terra","Spike + contention",141,7.80844676577654,FALSE
"GPT-5.6 Terra","Spike + contention",142,7.83616898945402,FALSE
"GPT-5.6 Terra","Spike + contention",143,8.57371856375437,FALSE
"GPT-5.6 Terra","Spike + contention",144,8.12939554049215,FALSE
"GPT-5.6 Terra","Spike + contention",145,8.13805239712712,FALSE
"GPT-5.6 Terra","Spike + contention",146,7.83629787003363,FALSE
"GPT-5.6 Terra","Spike + contention",147,8.16089002463226,FALSE
"GPT-5.6 Terra","Spike + contention",148,7.43652812626038,FALSE
"GPT-5.6 Terra","Spike + contention",149,6.12469670108316,FALSE
"GPT-5.6 Terra","Spike + contention",150,7.91430268780226,FALSE
"GPT-5.6 Terra","Spike + contention",151,7.87822370856357,FALSE
"GPT-5.6 Terra","Spike + contention",152,6.66360446457039,FALSE
"GPT-5.6 Terra","Spike + contention",153,6.26874030008517,FALSE
"GPT-5.6 Terra","Spike + contention",154,7.84683992517219,FALSE
"GPT-5.6 Terra","Spike + contention",155,8.11601845041724,FALSE
"GPT-5.6 Terra","Spike + contention",156,8.67406487474661,FALSE
"GPT-5.6 Terra","Spike + contention",157,7.94116876063834,FALSE
"GPT-5.6 Terra","Spike + contention",158,6.69151866060847,FALSE
"GPT-5.6 Terra","Spike + contention",159,6.74531084126917,FALSE
"GPT-5.6 Terra","Spike + contention",160,7.78404265293303,FALSE
"GPT-5.6 Terra","Spike + contention",161,7.28221281789355,FALSE
"GPT-5.6 Terra","Spike + contention",162,8.11214143074288,FALSE
"GPT-5.6 Terra","Spike + contention",163,8.51426904063488,FALSE
"GPT-5.6 Terra","Spike + contention",164,7.7121174695505,FALSE
"GPT-5.6 Terra","Spike + contention",165,8.88081075862674,FALSE
"GPT-5.6 Terra","Spike + contention",166,7.8551347061784,FALSE
"GPT-5.6 Terra","Spike + contention",167,8.08531129979073,FALSE
"GPT-5.6 Terra","Spike + contention",168,7.78105793283521,FALSE
"GPT-5.6 Terra","Spike + contention",169,8.31853203425704,FALSE
"GPT-5.6 Terra","Spike + contention",170,6.51287382023264,FALSE
"GPT-5.6 Terra","Spike + contention",171,7.86803604497312,FALSE
"GPT-5.6 Terra","Spike + contention",172,7.26261376185114,FALSE
"GPT-5.6 Terra","Spike + contention",173,6.29141867512857,FALSE
"GPT-5.6 Terra","Spike + contention",174,7.96925315008043,FALSE
"GPT-5.6 Terra","Spike + contention",175,7.8676474032794,FALSE
"GPT-5.6 Terra","Spike + contention",176,8.89566825542687,FALSE
"GPT-5.6 Terra","Spike + contention",177,7.82089863350366,FALSE
"GPT-5.6 Terra","Spike + contention",178,7.0922121392668,FALSE
"GPT-5.6 Terra","Spike + contention",179,6.35955168192513,FALSE
"GPT-5.6 Terra","Spike + contention",180,6.68944423803069,FALSE
"GPT-5.6 Terra","Spike + contention",181,8.28429955947722,FALSE
"GPT-5.6 Terra","Spike + contention",182,7.95740532268574,FALSE
"GPT-5.6 Terra","Spike + contention",183,6.87969314744605,FALSE
"GPT-5.6 Terra","Spike + contention",184,7.16504967867801,FALSE
"GPT-5.6 Terra","Spike + contention",185,7.45764143669172,FALSE
"GPT-5.6 Terra","Spike + contention",186,7.21571322308019,FALSE
"GPT-5.6 Terra","Spike + contention",187,7.41636263035949,FALSE
